"","GeneID","logFC","AveExpr","t","P.Value","adj.P.Val","B","modlogFC"
"ILMN_1755134","HSPA4",1.0130136200554,5.12549411764706,0.267579620378502,0.790423334415157,0.999946195569227,-5.78503593739734,0
"ILMN_1678478","CHST5",0.995618046403902,4.69325882352941,-0.267566355869186,0.790433472096419,0.999946195569227,-5.78503925535735,0
"ILMN_1752199","LHPP",0.976713364708222,6.42984705882353,-0.267553517130946,0.790507219234601,0.999946195569227,-5.78500586849257,0
"ILMN_2081682","SMAP2",0.968833539119361,8.59919411764706,-0.267678086821672,0.790541815843708,0.999946195569227,-5.78490033026952,0
"ILMN_1763382","NPPB",0.995005023319063,4.72351470588235,-0.267298596269387,0.790638120896061,0.999946195569227,-5.78510619721912,0
"ILMN_2312906","MIA3",0.992029549637821,4.98480882352941,-0.267292078492665,0.790643102623138,0.999946195569227,-5.78510782587876,0
"ILMN_1653220","PITPNM1",0.976252625679241,7.17618235294118,-0.267325891344427,0.790667788663945,0.999946195569227,-5.78507047316342,0
"ILMN_1795454","CPSF6",1.00546897866201,4.7988,0.267223468799834,0.790695543553789,0.999946195569227,-5.7851249676436,0
"ILMN_1682930","SIPA1",0.975986337430137,7.35147941176471,-0.267274256414886,0.790712797516107,0.999946195569227,-5.78508021037053,0
"ILMN_1772522","ZBTB14",0.990329633277957,6.11596764705882,-0.267190731482381,0.790720566245488,0.999946195569227,-5.78513314534259,0
"ILMN_1716909","ADAMDEC1",0.909134089247338,6.31300588235294,-0.267556710935032,0.790743044605043,0.999946195569227,-5.78486859699783,0
"ILMN_1736650","KDM4A",1.0062354045941,4.95448235294118,0.267145255652371,0.790755325961106,0.999946195569227,-5.78514450343377,0
"ILMN_3236377","C2orf69",1.01537967421019,8.85958823529412,0.267091135857345,0.790796693305045,0.999946195569227,-5.78515801794123,0
"ILMN_3191746","BCAR4",0.995048868541107,4.70672352941176,-0.267076633050866,0.790807778864617,0.999946195569227,-5.7851616390416,0
"ILMN_1659462","DUSP23",1.01861176506632,7.99898529411765,0.266973626933482,0.790886515265858,0.999946195569227,-5.7851873522551,0
"ILMN_1667381","CAMKV",0.994051252375116,4.72482941176471,-0.266939676269301,0.790912467153123,0.999946195569227,-5.78519582512743,0
"ILMN_1793549","PTPN4",1.01276036985585,5.42451764705882,0.266849456157636,0.790981432575187,0.999946195569227,-5.78521833562691,0
"ILMN_1713846","PPM1H",0.965005166453911,5.92809117647059,-0.267175720039187,0.790982259775176,0.999946195569227,-5.78499378264484,0
"ILMN_3309744","MIR604",0.994249120334669,4.86259117647059,-0.266723848307661,0.791077451672982,0.999946195569227,-5.78524966297332,0
"ILMN_1724480","AXIN2",0.996228487741166,4.63631470588235,-0.266685601658881,0.791106689422565,0.999946195569227,-5.78525919899768,0
"ILMN_1687404","HCN1",0.995837919957071,4.68876764705882,-0.266677495105721,0.791112886537305,0.999946195569227,-5.78526122002696,0
"ILMN_1712613","PNLIPRP2",0.995613117060091,4.56251176470588,-0.266610513642473,0.791164091538838,0.999946195569227,-5.78527791670592,0
"ILMN_1748779","SLC4A10",1.0044534558227,4.59728529411765,0.266310352170387,0.79139356604839,0.999946195569227,-5.78535268758601,0
