"","GeneID","logFC","AveExpr","t","P.Value","adj.P.Val","B","modlogFC"
"ILMN_2230683","CDCA7L",1.7721530802946,5.14013998633333,3.67057525177355,0.000807534657262626,0.028893045365387,-1.79289948856672,1.7721530802946
"ILMN_2117223","PTBP3",1.14285703270338,11.3958424336111,3.66960108634427,0.000809748220980905,0.0289315854162048,-1.7955402112034,1.14285703270338
"ILMN_1791545","KRT23",1.58098581997554,8.42127077627778,3.66957944395449,0.000809797464879942,0.0289315854162048,-1.79559887490231,1.58098581997554
"ILMN_1788059","PCGF5",0.722708254159378,6.15513383944444,-3.66757573583016,0.000814369168334023,0.0290736346175606,-1.80102945321011,0.722708254159378
"ILMN_1722025","CPEB4",0.474428422129505,7.56064252402778,-3.6666225249835,0.000816552792103643,0.0291302821001711,-1.80361244919687,0.474428422129505
"ILMN_1713141","LOC389641",1.44138237133982,7.14499596083333,3.66632185787306,0.000817242737626047,0.0291335992142907,-1.80442713107814,1.44138237133982
"ILMN_2374293","DYRK1A",0.780966501486716,9.26261707275,-3.66605833792035,0.000817847904838326,0.0291338914597261,-1.80514113558577,0.780966501486716
"ILMN_2135984","MASTL",1.51263458371052,3.67162618230556,3.66567599213356,0.000818726723790634,0.0291439243626217,-1.80617705731919,1.51263458371052
"ILMN_1765500","NDUFV3",0.713547378382554,5.98674831538889,-3.66493962646849,0.000820421830129744,0.029182978553806,-1.8081720211756,0.713547378382554
"ILMN_2182704","BIRC2",0.806293646439241,10.0705463963889,-3.66411375587922,0.000822327016172135,0.0292294430955927,-1.81040926231552,0.806293646439241
"ILMN_2382505","SLC22A18",0.723782662717478,7.78259647672222,-3.66231975600305,0.000826480323300313,0.0293556908428131,-1.815268351655,0.723782662717478
"ILMN_1717248","DOCK8-AS1",1.2978845528143,6.62412617519444,3.66158137555977,0.000828195644870671,0.0293952233139079,-1.81726796746896,1.2978845528143
"ILMN_1781560","ST3GAL6",0.802227406819533,7.62481844838889,-3.66006501931555,0.000831729078186582,0.0294991818333864,-1.82137387069925,0.802227406819533
"ILMN_1671482","GALM",0.772500624034775,7.28795297911111,-3.65836974844458,0.000835696688890651,0.0296183772751855,-1.82596334102245,0.772500624034775
"ILMN_2311166","ITGB5",0.613497016860402,8.48235222191667,-3.65806576430351,0.000836410066550473,0.0296221483874185,-1.82678619363951,0.613497016860402
"ILMN_1775036","SEC22A",1.28759407066278,7.09986235666667,3.6570286358564,0.000838848394047844,0.0296471951805691,-1.82959336250696,1.28759407066278
"ILMN_1794781","VAV2",1.66114289636579,4.26997059894444,3.65684185856868,0.000839288244498284,0.0296471951805691,-1.83009887044369,1.66114289636579
"ILMN_1713369","RPL13A",1.3736186120463,11.7528616205556,3.65682027033631,0.000839339098004755,0.0296471951805691,-1.83015729770572,1.3736186120463
"ILMN_1657760","SYT17",1.50729090386789,3.71465591172222,3.65673192534711,0.000839547235611469,0.0296471951805691,-1.83039639655766,1.50729090386789
"ILMN_1672606","OAS1",0.458373327431567,4.32333520766667,-3.65570813181402,0.000841962901190144,0.0296842623735428,-1.8331670281529,0.458373327431567
"ILMN_1732885","SLX4",0.76777883901798,7.03888747952778,-3.65529521626586,0.000842939087023833,0.0296842623735428,-1.83428437997249,0.76777883901798
"ILMN_1771061","BRD4",0.580135796961008,6.10163638386111,-3.65525683177704,0.000843029888525915,0.0296842623735428,-1.83438824578433,0.580135796961008
"ILMN_1723962","LXN",1.22936370197945,7.73624523461111,3.65306905246468,0.000848220918604258,0.0298455122499233,-1.84030743059191,1.22936370197945
"ILMN_1766125","LONP1",1.29247455123675,7.72402315355556,3.65070526102438,0.000853864327799692,0.0300224357273836,-1.84670106578883,1.29247455123675
"ILMN_1809347","SRP14",1.24534328552337,12.4321612727778,3.64860259623004,0.000858914819367392,0.0301782720875355,-1.85238685933081,1.24534328552337
"ILMN_2330948","ARF1",0.795933263237768,7.81563439483333,-3.64829000273123,0.00085966811530758,0.0301830093750761,-1.85323201611612,0.795933263237768
